Average Diameter,Time
5.658641,16.65613
5.658507,16.67552
5.658375,16.69475
5.658253,16.7137
5.65814,16.73178
5.658031,16.75276
5.657924,16.77167
5.6578,16.79054
5.657664,16.85495
5.657476,16.87481
5.657293,16.89503
5.657112,16.91488
5.657032,16.93398
5.65696,16.95358
5.656906,16.9731
5.656869,16.99266
5.65683,17.0117
5.656823,17.02996
5.656825,17.04961
5.656861,17.06898
5.656898,17.08693
5.656934,17.10943
5.656969,17.12889
5.657013,17.14805
5.657047,17.16891
5.657071,17.1893
5.65709,17.20847
5.657109,17.22823
5.657126,17.24727
5.657137,17.26628
5.657134,17.28503
5.657143,17.3042
5.65715,17.32304
5.657161,17.34189
5.657183,17.36092
5.657166,17.38182
5.657146,17.40027
5.657086,17.4195
5.657027,17.43914
5.656958,17.45818
5.656875,17.47718
5.656798,17.49564
5.656733,17.51488
5.656667,17.53495
5.656602,17.5528
5.656525,17.57197
5.656459,17.59305
5.656394,17.61335
5.656312,17.63391
5.656233,17.65286
5.656159,17.67211
5.65608,17.69099
5.656001,17.71003
5.655919,17.72879
5.655756,17.7467
5.65555,17.76585
5.655345,17.78476
5.655228,17.80536
5.655077,17.82476
5.655001,17.84251
5.654991,17.86089
5.654981,17.88018
5.654974,17.90022
5.654958,17.91916
5.654943,17.93821
5.654923,17.95602
5.654868,17.97535
5.654812,17.99514
5.65477,18.01667
5.654689,18.03598
5.654633,18.05495
5.654569,18.07297
5.654491,18.09126
5.654429,18.10994
5.654374,18.12986
5.654538,18.14903
5.654748,18.19517
5.654941,18.21689
5.655148,18.23586
5.655349,18.2551
5.655546,18.27517
5.655745,18.29477
5.655942,18.31397
5.656137,18.3334
5.656319,18.35308
5.656499,18.37198
5.656674,18.3919
5.656866,18.41152
5.657054,18.43185
5.657279,18.451
5.657337,18.46986
5.657342,18.48791
5.657317,18.50783
5.657315,18.52665
5.657475,18.54581
5.657456,18.56376
5.657509,18.58268
5.657559,18.60253
5.65761,18.6214
5.657678,18.64267
5.657744,18.66126
5.657791,18.68082
5.657845,18.69956
5.657897,18.71904
5.657949,18.73882
5.658064,18.75804
5.65813,18.7758
5.658239,18.7964
5.658356,18.8161
5.658472,18.83379
5.658579,18.85472
5.658644,18.875
5.658675,18.8942
5.658706,18.91316
5.658737,18.93148
5.658778,18.95033
5.658825,18.96939
5.659062,18.98839
5.659141,19.00762
5.659479,19.02759
5.659975,19.04609
5.660532,19.06708
5.660904,19.08627
5.66146,19.10505
5.66222,19.12407
5.662699,19.14312
5.663121,19.1624
5.663469,19.18204
5.663839,19.20027
5.664225,19.21934
5.664615,19.23832
5.664992,19.25759
5.665351,19.27928
5.665781,19.29821
5.666167,19.31699
5.666568,19.33603
5.666957,19.35409
5.667353,19.37315
5.667767,19.39274
5.668184,19.41187
5.668558,19.43122
5.668555,19.45104
5.668634,19.47013
5.668766,19.49109
5.66901,19.50985
5.66921,19.5291
5.669394,19.54788
5.669521,19.56689
5.669661,19.58608
5.669701,19.60488
5.6699,19.62387
5.670127,19.64273
5.670351,19.6612
5.670551,19.67987
5.670398,19.70076
5.670398,19.72002
5.670398,19.73973
5.670398,19.75925
5.670398,19.77812
5.670398,19.79712
5.669884,19.81522
5.669602,19.8343
5.669622,19.85292
5.669651,19.87188
5.669505,19.89079
5.669618,19.91372
5.669643,19.93298
5.669725,19.95186
5.66946,19.97065
5.66946,19.98992
5.66946,20.00972
5.66946,20.02752
5.66946,20.04648
5.66946,20.06569
5.66946,20.08352
5.66946,20.10162
5.66946,20.12336
5.66946,20.14182
5.66946,20.16086
5.66946,20.17994
5.669688,20.19886
5.669861,20.21774
5.670026,20.23688
5.6703,20.25552
5.670669,20.2743
5.671013,20.29446
5.671327,20.31331
5.671588,20.33471
5.671983,20.35431
5.672314,20.37411
5.672583,20.39315
5.672885,20.41232
5.67308,20.43106
5.673235,20.44998
5.673494,20.46793
5.673802,20.48614
5.674089,20.50446
5.674377,20.52417
5.674674,20.54551
5.67493,20.56498
5.675169,20.58413
5.675382,20.60365
5.675585,20.62281
5.67578,20.64182
5.675964,20.66073
5.676144,20.67947
5.676325,20.69892
5.676504,20.71781
5.676684,20.73698
